ID,Código,Descrição,Unidade,NCM,Preço de compra final,Situação,Estoque,Preço de custo,Fornecedor,Estoque minimo,Largura do Produto,Altura do Produto,Profundidade do produto,Código Pai,Grupo de produtos,Marca,CEST,Volumes,Descrição Curta,Cross-Docking,URL Imagens Externas,Link Externo,Meses Garantia no Fornecedor,Clonar dados do pai,Frete Grátis,Número FCI,Unidade de medida
16571534516,631,G Roupa Thb Absolut Plus 7 Pt 8 Gv,UN,,"1.599,00",Ativo,0,"588,32",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16467583689,	,G Roupa Thb Splendore Glass 4 Pt 2 Gv C/Espelho Salvados,UN,,0,Ativo,-1,0,,0,0.00,0.00,0.00,	,,,,0,,0,	,,,NÃO,NÃO,,Centímetro
16610217451,739,G ROUPA THB SPLENDORE GLASS 4 PT 2 GV C/ESPELHO SALVADOS,,,"1.349,00",Ativo,0,"275,94",salvados,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16466980152,	,GABINETE DE BANHEIRO VENEZA FREIJO/BRANCO,UN,,449,Ativo,1,"303,86",FIORELLO,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16466992168,	,GABINETE DE BANHEIRO VERONA FREIJO/BRANCO,UN,,399,Ativo,0,"265,6",FIORELLO,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16506135604,375,GAVETEIRO OFFICE PRESENCE 4G SALVADOS,UN,,249,Ativo,0,0,,0,0.00,0.00,0.00,	,,,,0,,0,	,,,NÃO,NÃO,,Centímetro
16506135831,376,COR:CINZA,UN,,249,Ativo,-1,0,,0,0.00,0.00,0.00,375,,,,0,,0,	,,,SIM,NÃO,,Centímetro
16506135832,377,COR:MARROM,UN,,249,Ativo,0,0,,0,0.00,0.00,0.00,375,,,,0,,0,	,,,SIM,NÃO,,Centímetro
16490839145,211,GUARA ROUPA COLORADO C/ ESP,UN,,"1.999,00",Ativo,0,"1.080,23",Moval,0,0.00,0.00,0.00,	,,,,0,,0,	,,0,NÃO,NÃO,,Centímetro
16490839146,212,COR:FREIJO/OFF WHITE,UN,,"1.999,00",Ativo,1,"1.080,23",Moval,0,0.00,0.00,0.00,211,,,,0,,0,	,,0,SIM,NÃO,,Centímetro
